# Direction numbers for the Sobol sequence from https://web.maths.unsw.edu.au/~fkuo/sobol/
# COL0: Polynomials
# COL1 - COL12: Direction numbers
1917	1	1	1	1	19	61	35	21	429	957	0	0	0
1933	1	3	3	15	17	27	83	29	211	443	0	0	0
1939	1	1	1	15	9	47	107	115	419	349	0	0	0
1969	1	3	7	3	9	57	1	43	143	813	0	0	0
2011	1	1	3	1	27	11	51	205	487	5	0	0	0
2035	1	1	7	9	21	17	7	223	195	105	0	0	0
2041	1	1	3	1	15	39	59	15	209	457	0	0	0
2053	1	3	5	7	15	1	33	3	461	393	7	0	0
2071	1	1	7	13	1	63	115	159	193	539	2011	0	0
2091	1	3	3	11	1	21	43	51	157	101	1001	0	0
2093	1	1	1	3	29	59	111	101	193	197	49	0	0
2119	1	3	3	13	5	17	45	127	363	697	825	0	0
2147	1	3	3	11	31	13	121	99	181	27	415	0	0
2149	1	3	3	7	11	31	105	239	271	343	1441	0	0
2161	1	1	1	3	17	3	125	171	445	515	383	0	0
2171	1	1	5	3	23	31	87	113	381	69	1581	0	0
2189	1	3	7	5	19	7	101	171	231	485	623	0	0
2197	1	3	3	13	21	9	41	119	135	383	1621	0	0
2207	1	1	3	11	25	27	95	189	327	855	1319	0	0
2217	1	3	7	5	15	37	75	245	403	693	1387	0	0
2225	1	1	7	11	11	23	1	201	171	133	619	0	0
2255	1	3	7	1	5	31	57	27	197	87	839	0	0
2257	1	1	5	3	5	9	117	185	181	743	217	0	0
2273	1	1	3	9	1	45	21	229	343	747	75	0	0
2279	1	3	1	7	19	43	27	105	113	475	1955	0	0
2283	1	1	7	15	19	31	67	153	313	87	505	0	0
2293	1	3	1	7	19	63	29	189	393	469	281	0	0
2317	1	1	3	5	7	21	53	33	311	763	1629	0	0
2323	1	3	7	13	13	39	117	35	415	721	1379	0	0
2341	1	1	5	7	21	51	63	137	267	345	53	0	0
2345	1	3	3	9	17	27	1	77	247	479	1111	0	0
